recorded_time,delta_t,K,false_positive_ratio
1,0.05,1.0,23.9832285115304
1,0.05,1.5,9.30817610062893
1,0.05,2.0,2.4737945492662474
1,0.05,2.5,0.12578616352201258
1,0.05,3.0,0.0
1,0.25,1.0,19.664570230607968
1,0.25,1.5,7.505241090146751
1,0.25,2.0,1.8867924528301887
1,0.25,2.5,0.0
1,0.25,3.0,0.0
1,0.5,1.0,16.058700209643607
1,0.5,1.5,6.079664570230608
1,0.5,2.0,1.4675052410901468
1,0.5,2.5,0.0
1,0.5,3.0,0.0
1,0.75,1.0,13.249475890985323
1,0.75,1.5,4.821802935010482
1,0.75,2.0,1.1320754716981132
1,0.75,2.5,0.0
1,0.75,3.0,0.0
1,1.0,1.0,11.19496855345912
1,1.0,1.5,3.6897274633123693
1,1.0,2.0,0.9224318658280923
1,1.0,2.5,0.0
1,1.0,3.0,0.0
1,1.25,1.0,9.517819706498951
1,1.25,1.5,2.851153039832285
1,1.25,2.0,0.7127882599580713
1,1.25,2.5,0.0
1,1.25,3.0,0.0
1,1.5,1.0,8.0083857442348
1,1.5,1.5,2.0964360587002098
1,1.5,2.0,0.5031446540880503
1,1.5,2.5,0.0
1,1.5,3.0,0.0
1,1.75,1.0,6.7924528301886795
1,1.75,1.5,1.4675052410901468
1,1.75,2.0,0.29350104821802936
1,1.75,2.5,0.0
1,1.75,3.0,0.0
1,2.0,1.0,6.079664570230608
1,2.0,1.5,0.8385744234800839
1,2.0,2.0,0.08385744234800838
1,2.0,2.5,0.0
1,2.0,3.0,0.0
